epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2456,1.50287,2.93544,1.7401,0.00556,0.83333,0.06459,0.01696,2.14139,2.90564,2.66478,2e-05,2e-05,2e-05
2,27.8735,1.11788,2.71422,1.46953,0.00667,1,0.4309,0.22892,1.29334,2.70152,2.07213,5.8812e-05,5.8812e-05,5.8812e-05
3,44.1557,0.81531,2.49974,1.2359,0.00667,1,0.89441,0.61796,0.89709,2.59373,1.53902,9.604e-05,9.604e-05,9.604e-05
4,59.5339,0.63879,2.2671,1.09217,0.00667,1,0.92223,0.66145,0.63068,2.51308,1.2121,0.000131684,0.000131684,0.000131684
5,74.2172,0.51276,1.85579,0.98939,0.00667,1,0.995,0.83801,0.44358,2.42072,1.05967,0.000165744,0.000165744,0.000165744
6,88.8271,0.53078,1.73731,0.99865,0.00667,1,0.995,0.8883,0.42591,2.29984,1.06956,0.00019822,0.00019822,0.00019822
7,103.284,0.44152,1.31954,0.9285,0.00667,1,0.995,0.87281,0.45085,2.09353,1.04868,0.000229112,0.000229112,0.000229112
8,117.813,0.44812,1.14853,0.96128,0.77883,1,0.995,0.9075,0.4276,2.03893,0.96799,0.00025842,0.00025842,0.00025842
9,132.568,0.41361,0.87611,0.92318,0.92443,1,0.995,0.91062,0.38199,2.02945,0.96171,0.000286144,0.000286144,0.000286144
10,147.155,0.40001,0.83749,0.9332,1,0.95858,0.995,0.92734,0.36913,1.88486,0.96589,0.000312284,0.000312284,0.000312284
11,161.627,0.44911,0.84478,0.94481,0.97555,1,0.995,0.92309,0.38969,1.67429,0.9586,0.00033684,0.00033684,0.00033684
12,175.953,0.38518,0.78693,0.91588,0.98346,1,0.995,0.93411,0.37601,1.45025,0.96561,0.000359812,0.000359812,0.000359812
13,190.352,0.34145,0.7408,0.86644,0.98532,1,0.995,0.90391,0.35331,1.33988,0.9624,0.0003812,0.0003812,0.0003812
14,204.75,0.38056,0.7227,0.86096,0.98563,1,0.995,0.92709,0.33812,1.27131,0.97291,0.000401004,0.000401004,0.000401004
15,219.078,0.35491,0.68029,0.88884,0.99485,1,0.995,0.93157,0.35529,0.94271,0.97742,0.000419224,0.000419224,0.000419224
16,235.288,0.36948,0.67896,0.93831,0.99556,1,0.995,0.93011,0.34632,0.73746,0.95187,0.00043586,0.00043586,0.00043586
17,251.506,0.38191,0.69762,0.89045,0.99565,1,0.995,0.94274,0.35729,0.74177,0.97579,0.000450912,0.000450912,0.000450912
18,268.943,0.35996,0.64152,0.86007,0.99558,1,0.995,0.93991,0.3435,0.76058,0.98757,0.00046438,0.00046438,0.00046438
19,285.787,0.32831,0.60932,0.89104,0.99562,1,0.995,0.89409,0.35982,0.71992,0.96946,0.000476264,0.000476264,0.000476264
20,301.362,0.35061,0.58748,0.8801,0.99521,1,0.995,0.8981,0.35499,0.85621,0.96995,0.000486564,0.000486564,0.000486564
21,317.19,0.32921,0.59088,0.88409,0.99419,1,0.995,0.87404,0.37847,1.02529,0.9997,0.00049528,0.00049528,0.00049528
22,332.796,0.33256,0.60371,0.86553,0.99299,1,0.995,0.8384,0.45018,1.05233,1.0642,0.000502412,0.000502412,0.000502412
23,348.459,0.39784,0.60887,0.83117,0.99346,1,0.995,0.82553,0.49855,0.98323,1.11521,0.00050796,0.00050796,0.00050796
24,366.717,0.35196,0.56714,0.87394,0.9944,1,0.995,0.86194,0.47962,1.03464,1.10995,0.000511924,0.000511924,0.000511924
25,381.448,0.35467,0.57269,0.85123,0.99462,1,0.995,0.81977,0.58317,0.9689,1.1993,0.000514304,0.000514304,0.000514304
26,395.465,0.35159,0.54751,0.85492,0.99518,1,0.995,0.79361,0.71413,0.93301,1.32884,0.0005151,0.0005151,0.0005151
27,409.3,0.35507,0.57199,0.8729,0.98906,1,0.995,0.8077,0.73752,0.93431,1.44073,0.000514312,0.000514312,0.000514312
28,423.408,0.34477,0.5855,0.86809,0.98906,1,0.995,0.8077,0.73752,0.93431,1.44073,0.00051194,0.00051194,0.00051194
29,436.945,0.38558,0.7783,0.87419,0.9935,1,0.995,0.79695,0.73876,0.94993,1.45411,0.000507984,0.000507984,0.000507984
30,450.629,0.35812,0.55563,0.83041,0.99147,1,0.995,0.71487,0.86963,1.21013,1.5756,0.000502444,0.000502444,0.000502444
31,464.386,0.32835,0.54453,0.84936,0.99147,1,0.995,0.71487,0.86963,1.21013,1.5756,0.00049532,0.00049532,0.00049532
32,478.158,0.33828,0.50843,0.84226,0.99225,1,0.995,0.73345,0.88574,1.14788,1.58755,0.000486612,0.000486612,0.000486612
33,491.851,0.31343,0.50545,0.87528,0.98909,1,0.995,0.76881,0.8122,1.07779,1.40756,0.00047632,0.00047632,0.00047632
34,505.432,0.30504,0.55716,0.89182,0.98909,1,0.995,0.76881,0.8122,1.07779,1.40756,0.000464444,0.000464444,0.000464444
35,519.03,0.3439,0.50328,0.84856,0.9679,1,0.995,0.73356,0.87325,1.17009,1.47053,0.000450984,0.000450984,0.000450984
36,532.784,0.37044,0.52786,0.86246,0.97764,1,0.995,0.74763,0.82423,1.09135,1.4295,0.00043594,0.00043594,0.00043594
37,546.684,0.36105,0.52186,0.88117,0.97764,1,0.995,0.74763,0.82423,1.09135,1.4295,0.000419312,0.000419312,0.000419312
38,560.298,0.35131,0.5519,0.8806,0.99188,1,0.995,0.72195,0.8252,1.06642,1.49119,0.0004011,0.0004011,0.0004011
39,573.967,0.32748,0.49265,0.84793,0.99342,1,0.995,0.69496,0.78737,1.05474,1.4729,0.000381304,0.000381304,0.000381304
40,587.84,0.31723,0.51581,0.86591,0.99342,1,0.995,0.69496,0.78737,1.05474,1.4729,0.000359924,0.000359924,0.000359924
41,601.455,0.33101,0.96213,0.86327,0.99552,1,0.995,0.70473,0.76088,1.26069,1.5237,0.00033696,0.00033696,0.00033696
42,615.025,0.30404,0.97418,0.86508,0.9959,1,0.995,0.89306,0.45875,1.02355,1.17394,0.000312412,0.000312412,0.000312412
43,628.646,0.28676,0.69729,0.87018,0.9959,1,0.995,0.89306,0.45875,1.02355,1.17394,0.00028628,0.00028628,0.00028628
44,642.145,0.30912,0.76005,0.83531,0.99585,1,0.995,0.94318,0.37236,0.85593,1.03247,0.000258564,0.000258564,0.000258564
45,655.802,0.23481,0.66124,0.78335,0.99585,1,0.995,0.94318,0.37236,0.85593,1.03247,0.000229264,0.000229264,0.000229264
46,669.415,0.30741,0.64458,0.79325,0.99594,1,0.995,0.88621,0.38705,0.82187,1.02069,0.00019838,0.00019838,0.00019838
47,682.967,0.27407,0.6755,0.82473,0.99594,1,0.995,0.88621,0.38705,0.82187,1.02069,0.000165912,0.000165912,0.000165912
48,696.596,0.26476,0.67258,0.818,0.99594,1,0.995,0.91585,0.37739,0.78521,1.00791,0.00013186,0.00013186,0.00013186
49,710.272,0.29636,0.6504,0.78964,0.99594,1,0.995,0.91585,0.37739,0.78521,1.00791,9.6224e-05,9.6224e-05,9.6224e-05
50,723.811,0.27654,0.6184,0.83184,0.99599,1,0.995,0.92705,0.36056,0.72062,0.98915,5.9004e-05,5.9004e-05,5.9004e-05
